지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),지면온도(°C)
90,속초,2020-01-01 01:00,-2.5,,2.1,32,1024.9,-2.6
90,속초,2020-01-01 02:00,-2.5,,1,38,1024.3,-2.7
90,속초,2020-01-01 03:00,-2,,2,39,1024.1,-2.6
90,속초,2020-01-01 04:00,-1.7,,2.6,40,1023.8,-2.5
90,속초,2020-01-01 05:00,-1.1,,2.2,37,1024,-2.5
90,속초,2020-01-01 06:00,-1,,1.9,38,1024.2,-2.5
90,속초,2020-01-01 07:00,-1,,2.1,41,1024.6,-2.4
90,속초,2020-01-01 08:00,-.8,,2.7,41,1025.2,-2.1
90,속초,2020-01-01 09:00,.2,,3.2,40,1025.7,-1.5
90,속초,2020-01-01 10:00,1,,3.9,39,1025.7,-.5
90,속초,2020-01-01 11:00,2.2,,4.5,36,1025.3,.6
90,속초,2020-01-01 12:00,3.3,,3.6,31,1024.6,3.7
90,속초,2020-01-01 13:00,3.9,,3.2,30,1023.8,6
90,속초,2020-01-01 14:00,4.6,,1.7,29,1023.4,7
90,속초,2020-01-01 15:00,4.2,,3.1,29,1023.8,4.7
90,속초,2020-01-01 16:00,3.8,,4.4,30,1023.9,2
90,속초,2020-01-01 17:00,2.9,,4.4,31,1024,.9
90,속초,2020-01-01 18:00,2.1,,1.7,37,1024.6,-.4
90,속초,2020-01-01 19:00,1.2,,2.4,37,1024.6,-.7
90,속초,2020-01-01 20:00,.3,,.8,38,1024.4,-1.1
90,속초,2020-01-01 21:00,-.4,,1.3,38,1024.5,-1.3
90,속초,2020-01-01 22:00,.7,,1.6,33,1024.5,-1.4
90,속초,2020-01-01 23:00,.3,,1,34,1024.6,-1.8
90,속초,2020-01-02 00:00,-.2,,1.4,37,1024.7,-1.9
93,북춘천,2020-01-01 01:00,-8.8,,.2,61,1021.1,-5
93,북춘천,2020-01-01 02:00,-8.4,,.3,65,1020.8,-4.5
93,북춘천,2020-01-01 03:00,-8,0,.7,62,1020.6,-5
93,북춘천,2020-01-01 04:00,-8.6,,.8,63,1020.6,-5.7
93,북춘천,2020-01-01 05:00,-8.2,,.8,66,1020.6,-4.7
93,북춘천,2020-01-01 06:00,-7.5,0,.3,69,1020.6,-4.1
93,북춘천,2020-01-01 07:00,-7.1,,.3,73,1021,-4
93,북춘천,2020-01-01 08:00,-7.2,,.4,78,1021.5,-3.8
93,북춘천,2020-01-01 09:00,-6.4,.1,.1,83,1022.1,-1.9
93,북춘천,2020-01-01 10:00,-5.7,,.5,81,1022.4,-.5
93,북춘천,2020-01-01 11:00,-4.5,,.7,80,1021.9,1.1
93,북춘천,2020-01-01 12:00,-2.8,0,1.1,78,1020.8,4.5
93,북춘천,2020-01-01 13:00,-2.7,,1.1,73,1019.8,3.9
93,북춘천,2020-01-01 14:00,-1.7,,.4,72,1019.5,1.6
93,북춘천,2020-01-01 15:00,-.1,,1.4,64,1019.1,3.3
93,북춘천,2020-01-01 16:00,.1,,2.3,63,1019.5,.6
93,북춘천,2020-01-01 17:00,-.7,,.9,66,1019.6,-.7
93,북춘천,2020-01-01 18:00,-2.5,,.6,77,1020,-1.3
93,북춘천,2020-01-01 19:00,-3.7,,1,82,1020.2,-2.3
93,북춘천,2020-01-01 20:00,-4,,1.2,81,1019.9,-3
93,북춘천,2020-01-01 21:00,-5.9,,0,86,1020.2,-3.8
93,북춘천,2020-01-01 22:00,-6.8,,.4,90,1020.1,-4.5
93,북춘천,2020-01-01 23:00,-7.2,,.1,91,1020.5,-5
93,북춘천,2020-01-02 00:00,-7.4,,.5,92,1020.3,-5.5
95,철원,2020-01-01 01:00,-8.2,,.7,59,1013.4,-2.5
95,철원,2020-01-01 02:00,-7.7,,.5,57,1013.2,-2.4
95,철원,2020-01-01 03:00,-7.4,0,.3,60,1013.1,-2.4
95,철원,2020-01-01 04:00,-7.3,,.8,65,1012.9,-2.4
95,철원,2020-01-01 05:00,-6.8,,.4,74,1012.5,-2.3
95,철원,2020-01-01 06:00,-7.2,,1.2,79,1012.7,-3.1
95,철원,2020-01-01 07:00,-6.9,,1,77,1013.1,-2.6
95,철원,2020-01-01 08:00,-6.8,,.6,82,1013.3,-2.4
95,철원,2020-01-01 09:00,-6.6,0,.4,93,1014,-2.3
95,철원,2020-01-01 10:00,-5.6,,.2,93,1014.4,-.6
95,철원,2020-01-01 11:00,-3.4,,.4,84,1014,1.7
95,철원,2020-01-01 12:00,-2.1,,.5,83,1013,1.1
95,철원,2020-01-01 13:00,-1.2,,1.4,74,1012.2,1.7
95,철원,2020-01-01 14:00,-.9,,1.8,68,1011.8,1.7
95,철원,2020-01-01 15:00,-.2,,1.5,61,1011.8,1.8
95,철원,2020-01-01 16:00,-.2,,1,62,1012.2,-.3
95,철원,2020-01-01 17:00,-.8,,1.4,65,1012.4,-.5
95,철원,2020-01-01 18:00,-1.2,,.6,68,1012.5,-.7
95,철원,2020-01-01 19:00,-1.4,,.3,70,1012.6,-.7
95,철원,2020-01-01 20:00,-2.4,,.7,78,1012.3,-1
95,철원,2020-01-01 21:00,-3.4,,.1,86,1012.5,-1.7
95,철원,2020-01-01 22:00,-4.3,,.1,95,1012.6,-2.5
95,철원,2020-01-01 23:00,-5.9,,.5,99,1013.1,-2.5
95,철원,2020-01-02 00:00,-4.6,,.5,97,1012.5,-1.8
98,동두천,2020-01-01 01:00,-7.6,,.1,59,1019.1,-2.8
98,동두천,2020-01-01 02:00,-7,,.2,57,1018.8,-2.8
98,동두천,2020-01-01 03:00,-6.6,,.3,58,1018.6,-2.6
98,동두천,2020-01-01 04:00,-6.5,,1.7,57,1018.6,-2.8
98,동두천,2020-01-01 05:00,-6.4,,1.1,60,1018.4,-2.6
98,동두천,2020-01-01 06:00,-6.2,,0,65,1018.4,-2.5
98,동두천,2020-01-01 07:00,-6.1,,1.6,71,1018.8,-2.5
98,동두천,2020-01-01 08:00,-6.4,,.2,78,1019,-2.5
98,동두천,2020-01-01 09:00,-6,.1,.3,89,1019.6,-1.8
98,동두천,2020-01-01 10:00,-5.1,,.7,86,1019.9,-1
98,동두천,2020-01-01 11:00,-4,,.6,82,1019.4,-.2
98,동두천,2020-01-01 12:00,-2.6,0,.5,81,1018.5,.4
98,동두천,2020-01-01 13:00,-1.4,,.8,73,1017.7,1
98,동두천,2020-01-01 14:00,-.4,,1.3,71,1017.5,.8
98,동두천,2020-01-01 15:00,-.5,,.2,71,1017.3,.5
98,동두천,2020-01-01 16:00,0,,.7,71,1017.7,-.1
98,동두천,2020-01-01 17:00,-.4,,1.8,71,1017.8,-.3
98,동두천,2020-01-01 18:00,-1,,1.2,74,1017.8,-.5
98,동두천,2020-01-01 19:00,-2,,.3,80,1017.9,-1
98,동두천,2020-01-01 20:00,-3,,1,84,1017.7,-1.5
98,동두천,2020-01-01 21:00,-3.4,,.2,86,1018,-1.6
98,동두천,2020-01-01 22:00,-3.7,,.9,86,1017.9,-1.8
98,동두천,2020-01-01 23:00,-3.6,,.6,88,1018.1,-1.8
98,동두천,2020-01-02 00:00,-3.8,,.8,89,1017.6,-1.9
99,파주,2020-01-01 01:00,-7,,.2,54,1029.9,-3.3
99,파주,2020-01-01 02:00,-7.4,,1,65,1029.5,-3.6
99,파주,2020-01-01 03:00,-7.3,,1,68,1029.6,-3.6
99,파주,2020-01-01 04:00,-7.2,,.5,66,1029.8,-3.3
99,파주,2020-01-01 05:00,-7.1,,.9,70,1029.3,-3.3
99,파주,2020-01-01 06:00,-7,,.6,75,1029.4,-3.1
99,파주,2020-01-01 07:00,-7,,.1,80,1029.6,-3
99,파주,2020-01-01 08:00,-6.5,,.8,82,1029.7,-2.8
99,파주,2020-01-01 09:00,-6.2,0,.4,86,1030.3,-2.3
99,파주,2020-01-01 10:00,-4.5,,.6,83,1030.7,-.9
99,파주,2020-01-01 11:00,-2.2,,.8,78,1030.2,2.1
