지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),지면온도(°C),요일,강수량,명칭,태양황경,season
108,서울,2019-01-01 01:00:00,-5.9,0.0,1.8,56.0,1024.0,-6.5,1,0,동지,270,4
108,서울,2019-01-01 07:00:00,-7.7,0.0,1.3,58.0,1023.1,-8.1,1,0,동지,270,4
108,서울,2019-01-01 08:00:00,-7.7,0.0,0.9,57.0,1023.0,-7.8,1,0,동지,270,4
108,서울,2019-01-01 09:00:00,-7.0,0.0,0.9,50.0,1023.2,-5.2,1,0,동지,270,4
108,서울,2019-01-01 10:00:00,-4.9,0.0,1.6,44.0,1023.3,-1.4,1,0,동지,270,4
108,서울,2019-01-01 11:00:00,-3.7,0.0,2.5,41.0,1023.0,1.3,1,0,동지,270,4
108,서울,2019-01-01 12:00:00,-2.8,0.0,2.8,47.0,1022.0,2.8,1,0,동지,270,4
108,서울,2019-01-01 13:00:00,-1.5,0.0,2.7,49.0,1020.9,5.1,1,0,동지,270,4
108,서울,2019-01-01 14:00:00,-1.7,0.0,3.5,51.0,1020.4,3.1,1,0,동지,270,4
108,서울,2019-01-01 15:00:00,-1.5,0.0,3.0,46.0,1020.7,1.2,1,0,동지,270,4
108,서울,2019-01-01 16:00:00,-0.9,0.0,3.2,45.0,1020.6,1.5,1,0,동지,270,4
108,서울,2019-01-01 17:00:00,-1.8,0.0,2.2,48.0,1020.9,-0.6,1,0,동지,270,4
108,서울,2019-01-01 18:00:00,-2.7,0.0,2.6,45.0,1021.0,-1.6,1,0,동지,270,4
108,서울,2019-01-01 19:00:00,-3.2,0.0,3.2,45.0,1021.8,-2.5,1,0,동지,270,4
108,서울,2019-01-01 20:00:00,-3.9,0.0,3.5,42.0,1022.2,-3.2,1,0,동지,270,4
108,서울,2019-01-01 21:00:00,-4.6,0.0,2.6,36.0,1022.6,-4.2,1,0,동지,270,4
