지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),적설(cm),지면상태(지면상태코드)
108,서울,2019-01-01 6:00,-7.9,,1.3,290,60,,
108,서울,2019-01-01 7:00,-7.7,,1.3,320,58,,
108,서울,2019-01-01 8:00,-7.7,,0.9,360,57,,
108,서울,2019-01-01 9:00,-7,,0.9,290,50,,
108,서울,2019-01-01 10:00,-4.9,,1.6,290,44,,
108,서울,2019-01-01 11:00,-3.7,,2.5,290,41,,
108,서울,2019-01-01 12:00,-2.8,,2.8,290,47,,
108,서울,2019-01-01 13:00,-1.5,,2.7,270,49,,
108,서울,2019-01-01 14:00,-1.7,,3.5,290,51,,
108,서울,2019-01-01 15:00,-1.5,,3,270,46,,
108,서울,2019-01-01 16:00,-0.9,,3.2,270,45,,
108,서울,2019-01-01 17:00,-1.8,,2.2,290,48,,
108,서울,2019-01-01 18:00,-2.7,,2.6,270,45,,
108,서울,2019-01-01 19:00,-3.2,,3.2,270,45,,
108,서울,2019-01-01 20:00,-3.9,,3.5,290,42,,
108,서울,2019-01-01 21:00,-4.6,,2.6,340,36,,
108,서울,2019-01-01 22:00,-5.4,,3.1,290,43,,
108,서울,2019-01-01 23:00,-6,,1.1,20,48,,
108,서울,2019-01-02 0:00,-6.7,,1.3,320,50,,
108,서울,2019-01-02 1:00,-7.2,,0.8,290,52,,
108,서울,2019-01-02 2:00,-7.8,,1.3,270,54,,
108,서울,2019-01-02 3:00,-8,,0.9,290,55,,
108,서울,2019-01-02 4:00,-8.4,,1.3,270,59,,
108,서울,2019-01-02 5:00,-8.5,,0.8,290,57,,
108,서울,2019-01-02 6:00,-8.5,,0.6,270,57,,
108,서울,2019-01-02 7:00,-8.5,,0.7,320,61,,
108,서울,2019-01-02 8:00,-8.7,,0.8,290,63,,
108,서울,2019-01-02 9:00,-7.5,,1.4,320,51,,
108,서울,2019-01-02 10:00,-5.6,,1.5,320,40,,
108,서울,2019-01-02 11:00,-4.1,,2.2,320,33,,
108,서울,2019-01-02 12:00,-2.8,,3.2,320,29,,
108,서울,2019-01-02 13:00,-1.8,,3,320,26,,
108,서울,2019-01-02 14:00,-0.2,,2.5,270,22,,
108,서울,2019-01-02 15:00,0,,2.6,290,23,,
108,서울,2019-01-02 16:00,0,,2,320,22,,
108,서울,2019-01-02 17:00,-1,,1.8,270,32,,
108,서울,2019-01-02 18:00,-2.6,,2.2,270,37,,
108,서울,2019-01-02 19:00,-3.3,,2,270,39,,
108,서울,2019-01-02 20:00,-3.9,,1.1,290,43,,
108,서울,2019-01-02 21:00,-4.4,,1.7,270,44,,
108,서울,2019-01-02 22:00,-4.3,,2,320,47,,
108,서울,2019-01-02 23:00,-4.6,,1.6,290,47,,
108,서울,2019-01-03 0:00,-5.4,,2.4,290,46,,
108,서울,2019-01-03 1:00,-6.1,,0.8,320,48,,
108,서울,2019-01-03 2:00,-7,,0.8,290,53,,
108,서울,2019-01-03 3:00,-7.5,,0.7,290,51,,
108,서울,2019-01-03 4:00,-7.7,,2.4,270,53,,
108,서울,2019-01-03 5:00,-8,,1.1,290,57,,
108,서울,2019-01-03 6:00,-8.1,,1.7,270,54,,
108,서울,2019-01-03 7:00,-8.3,,0.7,360,58,,
108,서울,2019-01-03 8:00,-8.4,,0.9,290,56,,
108,서울,2019-01-03 9:00,-7.7,,0.5,20,43,,
108,서울,2019-01-03 10:00,-4.8,,1,320,33,,
108,서울,2019-01-03 11:00,-2.4,,1.3,290,30,,
108,서울,2019-01-03 12:00,-0.4,,1.9,290,26,,
108,서울,2019-01-03 13:00,1.1,,1.4,270,22,,
108,서울,2019-01-03 14:00,2.4,,1.9,180,20,,
108,서울,2019-01-03 15:00,2.9,,2.3,180,20,,
108,서울,2019-01-03 16:00,3.2,,1.7,180,19,,
108,서울,2019-01-03 17:00,1.5,,1.2,290,20,,
108,서울,2019-01-03 18:00,-0.4,,1.6,270,22,,
108,서울,2019-01-03 19:00,-0.9,,2,290,24,,
108,서울,2019-01-03 20:00,-1.7,,1.5,270,45,,
108,서울,2019-01-03 21:00,-2.7,,0.7,290,47,,
108,서울,2019-01-03 22:00,-3.3,,0.7,290,42,,
108,서울,2019-01-03 23:00,-3.9,,1.3,270,41,,
108,서울,2019-01-04 0:00,-3.9,,0.8,290,47,,
108,서울,2019-01-04 1:00,-4.1,,0.4,0,46,,
108,서울,2019-01-04 2:00,-4.5,,0.6,20,44,,
108,서울,2019-01-04 3:00,-4.9,,1.1,50,47,,
108,서울,2019-01-04 4:00,-5.2,,0.6,20,50,,
108,서울,2019-01-04 5:00,-5.5,,0.7,360,47,,
108,서울,2019-01-04 6:00,-5.8,,0.8,20,50,,
108,서울,2019-01-04 7:00,-6,,1.2,50,55,,
108,서울,2019-01-04 8:00,-6.1,,1.1,20,54,,
108,서울,2019-01-04 9:00,-5.4,,1.3,50,49,,
108,서울,2019-01-04 10:00,-3.5,,0.7,360,40,,
108,서울,2019-01-04 11:00,-1.5,,1,360,37,,
108,서울,2019-01-04 12:00,-0.4,,0.7,360,34,,
108,서울,2019-01-04 13:00,1.1,,1.5,230,40,,
108,서울,2019-01-04 14:00,3.1,,2.5,200,36,,
108,서울,2019-01-04 15:00,3.9,,2.7,230,40,,
108,서울,2019-01-04 16:00,3,,1.6,250,49,,
108,서울,2019-01-04 17:00,2.7,,1.3,270,61,,
108,서울,2019-01-04 18:00,2.3,,1.5,250,69,,
108,서울,2019-01-04 19:00,1.5,,1,230,74,,
108,서울,2019-01-04 20:00,1.4,,1.2,270,75,,
108,서울,2019-01-04 21:00,1.4,,1.8,270,75,,
108,서울,2019-01-04 22:00,0.7,,1.1,250,79,,
108,서울,2019-01-04 23:00,0.1,,1,290,81,,
108,서울,2019-01-05 0:00,-0.2,,1.7,270,80,,
108,서울,2019-01-05 1:00,-0.4,,2.2,320,81,,
108,서울,2019-01-05 2:00,-1.5,,3,290,75,,
108,서울,2019-01-05 3:00,-2.2,,2.1,320,75,,
108,서울,2019-01-05 4:00,-2.9,,1.4,360,65,,
108,서울,2019-01-05 5:00,-3.8,,1.2,340,61,,
108,서울,2019-01-05 6:00,-4.5,,0.6,320,58,,
108,서울,2019-01-05 7:00,-4.6,,1.6,340,50,,
108,서울,2019-01-05 8:00,-4.5,,3.3,320,46,,
108,서울,2019-01-05 9:00,-4.7,,2.9,320,47,,
108,서울,2019-01-05 10:00,-4,,3.5,320,45,,
108,서울,2019-01-05 11:00,-2.8,,3.7,320,38,,
108,서울,2019-01-05 12:00,-2,,3.6,290,34,,
108,서울,2019-01-05 13:00,-0.7,,2.8,290,30,,
108,서울,2019-01-05 14:00,-0.5,,2.4,290,25,,
108,서울,2019-01-05 15:00,0.6,,3.5,270,20,,
108,서울,2019-01-05 16:00,0.4,,2.7,320,21,,
108,서울,2019-01-05 17:00,-0.3,,1.9,290,21,,
108,서울,2019-01-05 18:00,-1.5,,1.6,270,23,,
108,서울,2019-01-05 19:00,-2.1,,1.5,290,26,,
108,서울,2019-01-05 20:00,-2.6,,1.7,290,28,,
108,서울,2019-01-05 21:00,-2.9,,1.8,340,28,,
108,서울,2019-01-05 22:00,-3.9,,1.7,290,31,,
108,서울,2019-01-05 23:00,-4.8,,1.5,290,35,,
108,서울,2019-01-06 0:00,-5.5,,1.4,290,37,,
108,서울,2019-01-06 1:00,-6,,1.8,290,37,,
108,서울,2019-01-06 2:00,-6.3,,0.9,290,38,,
108,서울,2019-01-06 3:00,-5.9,,0.1,0,37,,
108,서울,2019-01-06 4:00,-5.7,,0.8,340,35,,
108,서울,2019-01-06 5:00,-5.6,,0.3,0,36,,
108,서울,2019-01-06 6:00,-5.4,,0.5,360,35,,
108,서울,2019-01-06 7:00,-5.3,,1.2,50,38,,
108,서울,2019-01-06 8:00,-5.7,,0.7,360,39,,
108,서울,2019-01-06 9:00,-5.2,,0.9,320,38,,
108,서울,2019-01-06 10:00,-4.2,,0.3,0,35,,
108,서울,2019-01-06 11:00,-1.3,,1.7,250,31,,
108,서울,2019-01-06 12:00,0.2,,2.2,270,28,,
108,서울,2019-01-06 13:00,1.6,,1.3,250,21,,
108,서울,2019-01-06 14:00,1.8,,2.1,270,22,,
108,서울,2019-01-06 15:00,2.1,,2.8,290,21,,
108,서울,2019-01-06 16:00,2.5,,1.8,290,22,,
108,서울,2019-01-06 17:00,0.8,,1.8,290,28,,
108,서울,2019-01-06 18:00,-0.9,,1.6,290,28,,
108,서울,2019-01-06 19:00,-1.7,,2.4,270,35,,
108,서울,2019-01-06 20:00,-2.3,,0.7,230,48,,
108,서울,2019-01-06 21:00,-3.1,,1.3,270,48,,
108,서울,2019-01-06 22:00,-3.7,,0.2,0,49,,
108,서울,2019-01-06 23:00,-3.8,,0.4,0,48,,
