구분,죄종,발생검거,건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중부,살인,발생,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중부,살인,검거,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중부,강도,발생,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중부,강도,검거,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중부,강간,발생,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중부,강간,검거,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중부,절도,발생,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중부,절도,검거,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중부,폭력,발생,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중부,폭력,검거,1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종로,살인,발생,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종로,살인,검거,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종로,강도,발생,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종로,강도,검거,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종로,강간,발생,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종로,강간,검거,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종로,절도,발생,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종로,절도,검거,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종로,폭력,발생,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종로,폭력,검거,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문,살인,발생,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문,살인,검거,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문,강도,발생,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문,강도,검거,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문,강간,발생,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문,강간,검거,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문,절도,발생,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문,절도,검거,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문,폭력,발생,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문,폭력,검거,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대문,살인,발생,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대문,살인,검거,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대문,강도,발생,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대문,강도,검거,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대문,강간,발생,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대문,강간,검거,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대문,절도,발생,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대문,절도,검거,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대문,폭력,발생,2391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대문,폭력,검거,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜화,살인,발생,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜화,살인,검거,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜화,강도,발생,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜화,강도,검거,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜화,강간,발생,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜화,강간,검거,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜화,절도,발생,1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜화,절도,검거,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜화,폭력,발생,2631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜화,폭력,검거,2444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산,살인,발생,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산,살인,검거,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산,강도,발생,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산,강도,검거,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산,강간,발생,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산,강간,검거,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산,절도,발생,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산,절도,검거,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산,폭력,발생,2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산,폭력,검거,2462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북,살인,발생,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북,살인,검거,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북,강도,발생,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북,강도,검거,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북,강간,발생,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북,강간,검거,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북,절도,발생,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북,절도,검거,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북,폭력,발생,1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북,폭력,검거,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대문,살인,발생,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대문,살인,검거,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대문,강도,발생,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대문,강도,검거,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
