구분,죄종,발생검거,건수
중부,살인,발생,1
중부,살인,검거,2
중부,강도,발생,21
중부,강도,검거,18
중부,강간,발생,59
중부,강간,검거,24
중부,절도,발생,1205
중부,절도,검거,810
중부,폭력,발생,1392
중부,폭력,검거,1341
종로,살인,발생,0
종로,살인,검거,1
종로,강도,발생,20
종로,강도,검거,21
종로,강간,발생,33
종로,강간,검거,30
종로,절도,발생,874
종로,절도,검거,1102
종로,폭력,발생,1593
종로,폭력,검거,1471
남대문,살인,발생,2
남대문,살인,검거,3
남대문,강도,발생,26
남대문,강도,검거,25
남대문,강간,발생,20
남대문,강간,검거,19
남대문,절도,발생,1146
남대문,절도,검거,897
남대문,폭력,발생,1090
남대문,폭력,검거,1020
서대문,살인,발생,1
서대문,살인,검거,1
서대문,강도,발생,75
서대문,강도,검거,76
서대문,강간,발생,40
서대문,강간,검거,34
서대문,절도,발생,1748
서대문,절도,검거,1798
서대문,폭력,발생,2083
서대문,폭력,검거,1935
혜화,살인,발생,4
혜화,살인,검거,4
혜화,강도,발생,28
혜화,강도,검거,23
혜화,강간,발생,82
혜화,강간,검거,42
혜화,절도,발생,1574
혜화,절도,검거,1094
혜화,폭력,발생,2019
혜화,폭력,검거,1843
용산,살인,발생,2
용산,살인,검거,3
용산,강도,발생,64
용산,강도,검거,30
용산,강간,발생,58
용산,강간,검거,37
용산,절도,발생,1837
용산,절도,검거,2019
용산,폭력,발생,2049
용산,폭력,검거,1718
성북,살인,발생,6
성북,살인,검거,6
성북,강도,발생,26
성북,강도,검거,86
성북,강간,발생,49
성북,강간,검거,25
성북,절도,발생,877
성북,절도,검거,1557
성북,폭력,발생,1465
성북,폭력,검거,1368
동대문,살인,발생,8
동대문,살인,검거,8
동대문,강도,발생,71
동대문,강도,검거,55
동대문,강간,발생,72
동대문,강간,검거,63
동대문,절도,발생,2032
동대문,절도,검거,2186
동대문,폭력,발생,3602
동대문,폭력,검거,3461
마포,살인,발생,4
마포,살인,검거,6
마포,강도,발생,144
마포,강도,검거,177
마포,강간,발생,60
마포,강간,검거,57
마포,절도,발생,2895
마포,절도,검거,1977
마포,폭력,발생,3267
마포,폭력,검거,2877
영등포,살인,발생,3
영등포,살인,검거,2
영등포,강도,발생,51
영등포,강도,검거,62
영등포,강간,발생,55
영등포,강간,검거,51
영등포,절도,발생,2723
영등포,절도,검거,2388
영등포,폭력,발생,2636
영등포,폭력,검거,2320
성동,살인,발생,4
성동,살인,검거,5
성동,강도,발생,37
성동,강도,검거,50
성동,강간,발생,42
성동,강간,검거,25
성동,절도,발생,1563
성동,절도,검거,1660
성동,폭력,발생,2234
성동,폭력,검거,2062
동작,살인,발생,10
동작,살인,검거,8
동작,강도,발생,56
동작,강도,검거,24
동작,강간,발생,43
동작,강간,검거,36
동작,절도,발생,2358
동작,절도,검거,1876
동작,폭력,발생,2299
동작,폭력,검거,2088
광진,살인,발생,12
광진,살인,검거,15
광진,강도,발생,88
광진,강도,검거,71
광진,강간,발생,90
광진,강간,검거,62
광진,절도,발생,3607
광진,절도,검거,2331
광진,폭력,발생,3749
광진,폭력,검거,3332
서부,살인,발생,5
서부,살인,검거,6
서부,강도,발생,158
서부,강도,검거,170
서부,강간,발생,38
서부,강간,검거,39
서부,절도,발생,1761
서부,절도,검거,1517
서부,폭력,발생,2187
서부,폭력,검거,2055
강북,살인,발생,7
강북,살인,검거,7
강북,강도,발생,79
강북,강도,검거,89
강북,강간,발생,69
강북,강간,검거,65
강북,절도,발생,1847
강북,절도,검거,1261
강북,폭력,발생,3035
강북,폭력,검거,2775
금천,살인,발생,16
금천,살인,검거,22
금천,강도,발생,73
금천,강도,검거,54
금천,강간,발생,64
금천,강간,검거,61
금천,절도,발생,2061
금천,절도,검거,1760
금천,폭력,발생,3864
금천,폭력,검거,3463
중랑,살인,발생,8
중랑,살인,검거,8
중랑,강도,발생,68
중랑,강도,검거,57
중랑,강간,발생,72
중랑,강간,검거,72
중랑,절도,발생,2627
중랑,절도,검거,2409
중랑,폭력,발생,3992
중랑,폭력,검거,3488
강남,살인,발생,3
강남,살인,검거,6
강남,강도,발생,252
강남,강도,검거,207
강남,강간,발생,80
강남,강간,검거,58
강남,절도,발생,3744
강남,절도,검거,2218
강남,폭력,발생,3787
강남,폭력,검거,3450
관악,살인,발생,8
관악,살인,검거,8
관악,강도,발생,66
관악,강도,검거,43
관악,강간,발생,106
관악,강간,검거,40
관악,절도,발생,2625
관악,절도,검거,1470
관악,폭력,발생,2915
관악,폭력,검거,2604
강서,살인,발생,8
강서,살인,검거,10
강서,강도,발생,71
강서,강도,검거,71
강서,강간,발생,80
강서,강간,검거,74
강서,절도,발생,2504
강서,절도,검거,1473
강서,폭력,발생,4134
강서,폭력,검거,3791
강동,살인,발생,6
강동,살인,검거,6
강동,강도,발생,66
강동,강도,검거,63
강동,강간,발생,60
강동,강간,검거,54
강동,절도,발생,1666
강동,절도,검거,1633
강동,폭력,발생,3255
강동,폭력,검거,2990
종암,살인,발생,5
종암,살인,검거,5
종암,강도,발생,52
종암,강도,검거,49
종암,강간,발생,51
종암,강간,검거,50
종암,절도,발생,1772
종암,절도,검거,1745
종암,폭력,발생,2306
종암,폭력,검거,2091
구로,살인,발생,4
구로,살인,검거,7
구로,강도,발생,75
구로,강도,검거,52
구로,강간,발생,82
구로,강간,검거,55
구로,절도,발생,2417
구로,절도,검거,1447
구로,폭력,발생,3158
구로,폭력,검거,2710
서초,살인,발생,6
서초,살인,검거,5
서초,강도,발생,121
서초,강도,검거,76
서초,강간,발생,108
서초,강간,검거,60
서초,절도,발생,1912
서초,절도,검거,1163
서초,폭력,발생,2552
서초,폭력,검거,2358
양천,살인,발생,6
양천,살인,검거,7
양천,강도,발생,75
양천,강도,검거,74
양천,강간,발생,49
양천,강간,검거,46
양천,절도,발생,2377
양천,절도,검거,1793
양천,폭력,발생,3016
양천,폭력,검거,2679
송파,살인,발생,6
송파,살인,검거,6
송파,강도,발생,54
송파,강도,검거,76
송파,강간,발생,43
송파,강간,검거,41
송파,절도,발생,1792
송파,절도,검거,1438
송파,폭력,발생,2856
송파,폭력,검거,2521
노원,살인,발생,7
노원,살인,검거,6
노원,강도,발생,25
노원,강도,검거,29
노원,강간,발생,36
노원,강간,검거,31
노원,절도,발생,1220
노원,절도,검거,928
노원,폭력,발생,2201
노원,폭력,검거,2051
방배,살인,발생,4
방배,살인,검거,5
방배,강도,발생,63
방배,강도,검거,49
방배,강간,발생,107
방배,강간,검거,39
방배,절도,발생,1387
방배,절도,검거,1194
방배,폭력,발생,1513
방배,폭력,검거,1318
은평,살인,발생,3
은평,살인,검거,3
은평,강도,발생,45
은평,강도,검거,37
은평,강간,발생,24
은평,강간,검거,21
은평,절도,발생,1638
은평,절도,검거,1033
은평,폭력,발생,2050
은평,폭력,검거,1781
도봉,살인,발생,2
도봉,살인,검거,2
도봉,강도,발생,36
도봉,강도,검거,31
도봉,강간,발생,41
도봉,강간,검거,37
도봉,절도,발생,1790
도봉,절도,검거,1832
도봉,폭력,발생,2735
도봉,폭력,검거,2500
수서,살인,발생,7
수서,살인,검거,8
수서,강도,발생,52
수서,강도,검거,56
수서,강간,발생,47
수서,강간,검거,32
수서,절도,발생,2120
수서,절도,검거,1156
수서,폭력,발생,2803
수서,폭력,검거,2449
,,,
,,,
,,,
,,,
,,,
