구분,죄종,발생검거,검거
중부,살인,발생,2
중부,살인,검거,3
중부,강도,발생,14
중부,강도,검거,19
중부,강간,발생,89
중부,강간,검거,60
중부,절도,발생,1266
중부,절도,검거,457
중부,폭력,발생,1622
중부,폭력,검거,1369
종로,살인,발생,6
종로,살인,검거,5
종로,강도,발생,16
종로,강도,검거,12
종로,강간,발생,80
종로,강간,검거,82
종로,절도,발생,1001
종로,절도,검거,534
종로,폭력,발생,1296
종로,폭력,검거,1090
남대문,살인,발생,1
남대문,살인,검거,2
남대문,강도,발생,7
남대문,강도,검거,9
남대문,강간,발생,62
남대문,강간,검거,50
남대문,절도,발생,984
남대문,절도,검거,461
남대문,폭력,발생,1043
남대문,폭력,검거,895
서대문,살인,발생,6
서대문,살인,검거,6
서대문,강도,발생,26
서대문,강도,검거,23
서대문,강간,발생,174
서대문,강간,검거,145
서대문,절도,발생,1879
서대문,절도,검거,702
서대문,폭력,발생,1962
서대문,폭력,검거,1604
혜화,살인,발생,2
혜화,살인,검거,2
혜화,강도,발생,20
혜화,강도,검거,16
혜화,강간,발생,98
혜화,강간,검거,75
혜화,절도,발생,941
혜화,절도,검거,425
혜화,폭력,발생,1464
혜화,폭력,검거,1287
용산,살인,발생,13
용산,살인,검거,13
용산,강도,발생,47
용산,강도,검거,36
용산,강간,발생,172
용산,강간,검거,153
용산,절도,발생,1592
용산,절도,검거,555
용산,폭력,발생,2454
용산,폭력,검거,1967
성북,살인,발생,5
성북,살인,검거,3
성북,강도,발생,10
성북,강도,검거,8
성북,강간,발생,99
성북,강간,검거,59
성북,절도,발생,904
성북,절도,검거,425
성북,폭력,발생,1274
성북,폭력,검거,1066
동대문,살인,발생,14
동대문,살인,검거,11
동대문,강도,발생,72
동대문,강도,검거,69
동대문,강간,발생,222
동대문,강간,검거,196
동대문,절도,발생,2046
동대문,절도,검거,931
동대문,폭력,발생,2727
동대문,폭력,검거,2313
마포,살인,발생,3
마포,살인,검거,3
마포,강도,발생,22
마포,강도,검거,22
마포,강간,발생,172
마포,강간,검거,143
마포,절도,발생,2105
마포,절도,검거,647
마포,폭력,발생,2740
마포,폭력,검거,2275
영등포,살인,발생,18
영등포,살인,검거,19
영등포,강도,발생,53
영등포,강도,검거,40
영등포,강간,발생,221
영등포,강간,검거,163
영등포,절도,발생,2688
영등포,절도,검거,879
영등포,폭력,발생,4143
영등포,폭력,검거,3338
성동,살인,발생,7
성동,살인,검거,6
성동,강도,발생,24
성동,강도,검거,17
성동,강간,발생,98
성동,강간,검거,74
성동,절도,발생,1376
성동,절도,검거,467
성동,폭력,발생,1729
성동,폭력,검거,1456
동작,살인,발생,5
동작,살인,검거,6
동작,강도,발생,22
동작,강도,검거,12
동작,강간,발생,249
동작,강간,검거,84
동작,절도,발생,1722
동작,절도,검거,527
동작,폭력,발생,1932
동작,폭력,검거,1594
광진,살인,발생,11
광진,살인,검거,11
광진,강도,발생,48
광진,강도,검거,38
광진,강간,발생,260
광진,강간,검거,226
광진,절도,발생,2418
광진,절도,검거,1065
광진,폭력,발생,2867
광진,폭력,검거,2301
서부,살인,발생,4
서부,살인,검거,4
서부,강도,발생,7
서부,강도,검거,17
서부,강간,발생,71
서부,강간,검거,75
서부,절도,발생,909
서부,절도,검거,376
서부,폭력,발생,1353
서부,폭력,검거,1086
강북,살인,발생,7
강북,살인,검거,6
강북,강도,발생,30
강북,강도,검거,18
강북,강간,발생,168
강북,강간,검거,128
강북,절도,발생,1522
강북,절도,검거,543
강북,폭력,발생,2689
강북,폭력,검거,2293
금천,살인,발생,14
금천,살인,검거,14
금천,강도,발생,30
금천,강도,검거,24
금천,강간,발생,107
금천,강간,검거,89
금천,절도,발생,1527
금천,절도,검거,753
금천,폭력,발생,2399
금천,폭력,검거,1960
중랑,살인,발생,10
중랑,살인,검거,10
중랑,강도,발생,46
중랑,강도,검거,55
중랑,강간,발생,204
중랑,강간,검거,186
중랑,절도,발생,1898
중랑,절도,검거,778
중랑,폭력,발생,3771
중랑,폭력,검거,3246
강남,살인,발생,15
강남,살인,검거,14
강남,강도,발생,47
강남,강도,검거,25
강남,강간,발생,282
강남,강간,검거,174
강남,절도,발생,2442
강남,절도,검거,711
강남,폭력,발생,3195
강남,폭력,검거,2747
관악,살인,발생,19
관악,살인,검거,17
관악,강도,발생,54
관악,강도,검거,36
관악,강간,발생,361
관악,강간,검거,222
관악,절도,발생,2694
관악,절도,검거,775
관악,폭력,발생,3826
관악,폭력,검거,3119
강서,살인,발생,18
강서,살인,검거,20
강서,강도,발생,45
강서,강도,검거,43
강서,강간,발생,215
강서,강간,검거,182
강서,절도,발생,2776
강서,절도,검거,861
강서,폭력,발생,3346
강서,폭력,검거,2748
강동,살인,발생,7
강동,살인,검거,6
강동,강도,발생,36
강동,강도,검거,31
강동,강간,발생,191
강동,강간,검거,142
강동,절도,발생,2426
강동,절도,검거,1011
강동,폭력,발생,3065
강동,폭력,검거,2532
종암,살인,발생,4
종암,살인,검거,4
종암,강도,발생,17
종암,강도,검거,15
종암,강간,발생,75
종암,강간,검거,65
종암,절도,발생,971
종암,절도,검거,382
종암,폭력,발생,1055
종암,폭력,검거,886
구로,살인,발생,12
구로,살인,검거,10
구로,강도,발생,39
구로,강도,검거,24
구로,강간,발생,326
구로,강간,검거,150
구로,절도,발생,2014
구로,절도,검거,984
구로,폭력,발생,3327
구로,폭력,검거,2804
서초,살인,발생,7
서초,살인,검거,4
서초,강도,발생,28
서초,강도,검거,15
서초,강간,발생,283
서초,강간,검거,147
서초,절도,발생,1733
서초,절도,검거,741
서초,폭력,발생,1866
서초,폭력,검거,1576
양천,살인,발생,4
양천,살인,검거,4
양천,강도,발생,29
양천,강도,검거,25
양천,강간,발생,131
양천,강간,검거,89
양천,절도,발생,2016
양천,절도,검거,698
양천,폭력,발생,2627
양천,폭력,검거,2062
송파,살인,발생,6
송파,살인,검거,5
송파,강도,발생,54
송파,강도,검거,38
송파,강간,발생,292
송파,강간,검거,209
송파,절도,발생,4004
송파,절도,검거,845
송파,폭력,발생,3735
송파,폭력,검거,2915
노원,살인,발생,8
노원,살인,검거,8
노원,강도,발생,25
노원,강도,검거,18
노원,강간,발생,169
노원,강간,검거,138
노원,절도,발생,1723
노원,절도,검거,890
노원,폭력,발생,2594
노원,폭력,검거,2234
방배,살인,발생,2
방배,살인,검거,2
방배,강도,발생,11
방배,강도,검거,7
방배,강간,발생,40
방배,강간,검거,35
방배,절도,발생,565
방배,절도,검거,234
방배,폭력,발생,643
방배,폭력,검거,562
은평,살인,발생,10
은평,살인,검거,8
은평,강도,발생,21
은평,강도,검거,13
은평,강간,발생,82
은평,강간,검거,73
은평,절도,발생,1072
은평,절도,검거,431
은평,폭력,발생,1617
은평,폭력,검거,1339
도봉,살인,발생,10
도봉,살인,검거,10
도봉,강도,발생,29
도봉,강도,검거,30
도봉,강간,발생,100
도봉,강간,검거,99
도봉,절도,발생,1418
도봉,절도,검거,375
도봉,폭력,발생,1700
도봉,폭력,검거,1440
수서,살인,발생,8
수서,살인,검거,5
수서,강도,발생,26
수서,강도,검거,30
수서,강간,발생,159
수서,강간,검거,109
수서,절도,발생,1780
수서,절도,검거,422
수서,폭력,발생,2000
수서,폭력,검거,1516
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
