Player,Pos,3P,TRB,BLK
Will Barton,SG,1.5,4.3,0.5
Joe Harris,SG,1.6,2.8,0.2
Marco Belinelli,SG,1.4,2.4,0.1
Tony Snell,SG,1.8,3.1,0.2
Manu Ginobili,SG,1.3,2.3,0.2
Denzel Valentine,SG,1.3,2.6,0.1
Jordan Crawford,SG,1.9,1.8,0.1
Jason Smith,C,0.5,3.5,0.7
Edy Tavares,C,0.0,5.5,3.0
Clint Capela,C,0.0,8.1,1.2
Gary Harris,SG,1.9,3.1,0.1
Alex Abrines,SG,1.4,1.3,0.1
Al Horford,C,1.3,6.8,1.3
Dwyane Wade,SG,0.8,4.5,0.7
Andre Drummond,C,0.0,13.8,1.1
Anthony Davis,C,0.5,11.8,2.2
Wayne Ellington,SG,2.4,2.1,0.1
Eric Gordon,SG,3.3,2.7,0.5
Jordan Clarkson,SG,1.4,3.0,0.1
Kosta Koufos,C,0.0,5.7,0.7
Garrett Temple,SG,1.3,2.8,0.4
Lou Williams,SG,2.0,2.5,0.2
Brook Lopez,C,1.8,5.4,1.7
Ian Mahinmi,C,0.0,4.8,0.8
Rudy Gobert,C,0.0,12.8,2.6
Mason Plumlee,C,0.0,7.5,1.1
Klay Thompson,SG,3.4,3.7,0.5
Channing Frye,C,1.9,3.9,0.5
Marcin Gortat,C,0.0,10.4,0.7
A.J. Hammons,C,0.2,1.6,0.6
Timofey Mozgov,C,0.0,4.9,0.6
Nikola Jokic,C,0.6,9.8,0.8
E'Twaun Moore,SG,1.1,2.1,0.4
Chris Andersen,C,0.0,2.6,0.6
JaVale McGee,C,0.0,3.2,0.9
Ben McLemore,SG,1.1,2.1,0.1
John Henson,C,0.0,5.1,1.3
Patrick Beverley,SG,1.6,5.9,0.4
Rodney Hood,SG,1.9,3.4,0.2
Myles Turner,C,0.5,7.3,2.1
Steven Adams,C,0.0,7.7,1.0
Georgios Papagiannis,C,0.0,3.9,0.8
Robin Lopez,C,0.0,6.4,1.4
Salah Mejri,C,0.0,4.2,0.8
Tarik Black,C,0.0,5.1,0.7
Justin Holiday,SG,1.2,2.7,0.4
Nene Hilario,C,0.0,4.2,0.6
Jamal Murray,SG,1.4,2.6,0.3
Danny Green,SG,1.7,3.3,0.8
Nicolas Batum,SG,1.8,6.2,0.4
Iman Shumpert,SG,1.2,2.9,0.4
Karl-Anthony Towns,C,1.2,12.3,1.3
Tim Hardaway,SG,1.9,2.8,0.2
Zach LaVine,SG,2.6,3.4,0.2
Jamal Crawford,SG,1.4,1.6,0.2
DeAndre Jordan,C,0.0,13.8,1.7
J.J. Redick,SG,2.6,2.2,0.2
Nik Stauskas,SG,1.7,2.8,0.4
Alexis Ajinca,C,0.0,4.5,0.6
Allen Crabbe,SG,1.7,2.9,0.3
Jonas Valanciunas,C,0.0,9.5,0.8
Andrew Bogut,C,0.0,8.1,0.9
Austin Rivers,SG,1.5,2.2,0.1
Montrezl Harrell,C,0.0,3.8,0.7
Hassan Whiteside,C,0.0,14.1,2.1
Courtney Lee,SG,1.4,3.4,0.3
Avery Bradley,SG,2.0,6.1,0.2
Willie Cauley-Stein,C,0.0,4.5,0.6
Marreese Speights,C,1.3,4.5,0.5
Jodie Meeks,SG,1.6,2.1,0.1
Wesley Matthews,SG,2.4,3.5,0.2
Bradley Beal,SG,2.9,3.1,0.3
Devin Booker,SG,1.9,3.2,0.3
Kyle Korver,SG,2.4,2.8,0.3
Sean Kilpatrick,SG,1.5,4.0,0.1
Pau Gasol,C,0.9,7.8,1.1
Alex Len,C,0.0,6.6,1.3
Marc Gasol,C,1.4,6.3,1.3
Joel Embiid,C,1.2,7.8,2.5
Dion Waiters,SG,1.8,3.3,0.4
