Date,    난방 공용,    수도 공용,    인건비,    전기 공용,    제사무비,    제세공과금,  경비비,  수선유지비,  일반관리비,  청소비,공용관리비
2015-01-01,10479922,1519455,18667600,4340357,846450,286710,23870820,2911080,20075760,7528740,56133060
2015-02-01,7989222,557425,18658930,4157157,658700,146120,23870820,2658180,19738750,7528740,55543150
2015-03-01,6851372,4693430,18594380,4002670,731260,146030,23870820,3800710,19796670,7528740,56743600
2015-04-01,2409442,4304100,18964120,3245115,485220,148980,23696300,2902730,19911320,7425080,55682090
2015-05-01,998032,1245270,18995190,1612106,472500,122840,23870820,3027500,19865530,7571550,56082060
2015-06-01,811092,1644480,18355030,1753782,775450,137050,23870820,3073330,19542530,7571550,55804890
2015-07-01,201380,991250,17954210,2685901,890280,151860,23870820,2500000,19271350,7571550,54960380
2015-08-01,902580,1358600,18538250,3118116,656270,135360,23870820,3438490,19604880,7710180,56371030
2015-09-01,886260,89525,19431230,2609218,496800,202570,23825560,3153320,20405600,6988590,56119730
2015-10-01,1688060,358925,19859570,1889223,719150,163500,23827020,2637850,21047220,7528740,56787490
2015-11-01,3711760,414900,19561060,2995604,650150,150710,23870820,2855140,20674920,7528740,56676280
2015-12-01,6084010,414900,18738010,3932967,684500,152510,23870820,3178070,19882020,7528740,56205410
2016-01-01,7058200,968450,19373190,4642876,718000,342430,26022230,2670220,20708620,7995760,59143490
2016-02-01,5868010,1489860,20138460,4651701,464600,175160,26022230,2478000,21053220,6784920,58085030
2016-03-01,3946360,1107475,20114250,3581559,673340,157400,26635230,3100440,21219990,7803590,60505910
2016-04-01,2121470,1933975,19887300,2564736,735000,136140,22067240,2992100,21033440,8481650,56321090
2016-05-01,1021650,3719100,20046390,1984627,804180,149750,22273520,3006800,21275320,8481650,56783950
2016-06-01,850542,3719100,19472660,1829794,568610,140210,24175274,1934080,20456480,8803536,57116030
2016-07-01,943862,3824620,19624470,2182248,754550,144620,24175274,1810000,20798640,8803536,57334110
2016-08-01,947790,3824620,20618910,2434222,717250,139840,24175174,2933050,21751000,8803536,59409420
2016-09-01,992270,2976360,20570220,1900512,668350,198380,24175274,3002600,21741950,8803536,59470020
2016-10-01,1469300,1185160,20245840,1983265,745670,133910,24175274,2057850,21468420,8803536,58251740
